step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar
0,0,0,2.388352394104004,-1.0,1.361243716039535,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.0384843535721302,0.028271464630961418,0.0009386539459228516,0.15405547618865967,0.168251633644104,55.337646484375,20.0,0,nan
1,0,1,2.6188149452209473,-1.0,1.2527414726284092,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.005388303659856319,0.01950719952583313,0.0013602972030639648,0.6100021600723267,0.62361079454422,-170.10951232910156,20.0,0,nan
2,0,2,2.7404212951660156,-1.0,1.1443453095064677,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.007725785952061415,0.04577434062957764,-0.0007781386375427246,0.21668320894241333,0.17981761693954468,-135.93057250976562,20.0,0,nan
3,0,3,3.522280693054199,-1.0,1.0916392416344671,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.03205566853284836,0.051930125802755356,0.003468155860900879,0.4172537326812744,0.6130850315093994,-211.65524291992188,20.0,0,nan
4,0,4,4.257035255432129,-1.0,1.4165594594211497,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.11627130210399628,0.026785429567098618,-0.009241938591003418,-0.7633810639381409,-0.7813241481781006,-238.10263061523438,20.0,0,nan
5,0,5,3.4585673809051514,-1.0,1.3517554962321061,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.013942854478955269,0.01814247854053974,-0.0005908608436584473,0.08711099624633789,0.30216360092163086,-91.5988540649414,20.0,0,nan
6,0,6,5.569545745849609,-1.0,1.2787282336186039,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.062447477132081985,0.10048141330480576,-0.008754491806030273,-0.6098214983940125,-0.896895706653595,-94.87100219726562,20.0,0,nan
7,0,7,3.533477783203125,-1.0,1.3213033843397994,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.018955251201987267,0.011120842769742012,-0.0015016794204711914,-0.468755841255188,-0.4884103536605835,-36.66312026977539,20.0,0,nan
8,0,8,3.8979110717773438,-1.0,1.2953946507150507,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,6.817460234742612e-05,6.418148404918611e-05,-4.2319297790527344e-05,-0.9292269349098206,-0.649027943611145,-29.25188446044922,20.0,0,nan
9,0,9,2.8244802951812744,-1.0,1.4481475884201136,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.0074472385458648205,0.002638129284605384,-0.0004253983497619629,-0.25325578451156616,-0.19036740064620972,114.2813491821289,20.0,0,nan
10,0,10,2.5629520416259766,-1.0,1.3043913570017196,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,4.000487479061121e-06,0.00037792950752191246,-3.039836883544922e-06,-0.21387028694152832,-0.2023676037788391,-0.6981946229934692,20.0,0,nan
11,0,11,2.931901693344116,-1.0,1.4725667621641465,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.003008927684277296,0.0010076293256133795,-0.00012892484664916992,-0.3431706428527832,-0.38641101121902466,-16.320707321166992,20.0,0,nan
12,0,12,3.5325517654418945,-1.0,1.639907986020587,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.014101642183959484,0.004482433665543795,-0.0003141164779663086,-0.4221121072769165,-0.37133485078811646,70.77101135253906,20.0,0,nan
13,0,13,2.5334038734436035,-1.0,1.7286336167381569,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.00011777030158555135,4.660175909521058e-05,-3.415346145629883e-05,-0.20353251695632935,-0.22185099124908447,-16.411014556884766,20.0,0,nan
14,0,14,2.558974504470825,-1.0,1.6582060626549775,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.0006402486469596624,0.0006250242586247623,-0.00010734796524047852,-0.18984919786453247,-0.16960787773132324,-9.978944778442383,20.0,0,nan
15,0,15,2.482496976852417,-1.0,1.6986867948420794,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.0020990045741200447,0.001017445931211114,7.987022399902344e-06,-0.07321387529373169,-0.06566858291625977,-10.521261215209961,20.0,0,nan
16,0,16,2.7856850624084473,-1.0,1.5295838942752338,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,1.6611627415841212e-06,0.00021692458540201187,-2.384185791015625e-06,-0.31996625661849976,-0.29647815227508545,-15.308051109313965,20.0,0,nan
17,0,17,2.7032830715179443,-1.0,1.3799065560581651,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,1.3158195542928297e-05,0.00040103596984408796,-1.8477439880371094e-06,-0.18681061267852783,-0.21101707220077515,28.121904373168945,20.0,0,nan
18,0,18,2.476637840270996,-1.0,1.2429077151529302,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,2.4860983103280887e-06,0.00025066157104447484,-2.205371856689453e-06,-0.08872425556182861,-0.05281311273574829,21.877464294433594,20.0,0,nan
19,0,19,2.5133557319641113,-1.0,1.3082016813562274,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.00011016173084499314,5.81068561587017e-05,8.106231689453125e-06,-0.10001802444458008,-0.13923287391662598,-6.984068393707275,20.0,0,nan
20,0,20,2.3564250469207764,-1.0,1.1968529176562068,-0.7706877373434055,-0.7706877373434055,-67.21731567382812,0.00028418010333552957,0.0014594740932807326,-1.7523765563964844e-05,-0.06820559501647949,-0.08756989240646362,-7.53481388092041,20.0,0,nan
