step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable
0,0,0,2.390139579772949,-1.0,0.22777564644789047,inf,inf,-79.45923614501953,0.02785530500113964,0.12229272723197937,-0.0020658522844314575,0.06003482639789581,0.0296105295419693,-79.51041412353516,26.666666666666668,0,nan,0
1,0,1,2.5540099143981934,-1.0,0.22289276924804205,inf,inf,-79.45923614501953,0.012152863666415215,0.0679132491350174,-0.0010098367929458618,0.23181508481502533,0.1989625096321106,-164.9480743408203,26.666666666666668,0,nan,0
2,0,2,2.543829917907715,-1.0,0.2058363476312885,inf,inf,-79.45923614501953,0.0023026331327855587,0.044003378599882126,0.00048410892486572266,0.2731535881757736,0.25498153269290924,-151.7810821533203,26.666666666666668,0,nan,0
3,0,3,2.7032859325408936,-1.0,0.27601891073001156,inf,inf,-79.45923614501953,0.012468131259083748,0.013736535795032978,-0.000593036413192749,0.4655935615301132,0.4289393573999405,-136.01974487304688,26.666666666666668,0,nan,0
4,0,4,3.116302013397217,-1.0,0.5503626609090992,inf,inf,-79.45923614501953,0.07012813538312912,0.023225417360663414,-0.0016412585973739624,0.2814517021179199,0.38076429069042206,-236.9588623046875,26.666666666666668,0,nan,0
5,0,5,3.953054428100586,-1.0,0.565503040149441,inf,inf,-79.45923614501953,0.005292029585689306,0.007541012484580278,-0.0005575269460678101,-0.38433629274368286,-0.5673201233148575,-384.4085693359375,26.666666666666668,0,nan,0
6,0,6,4.102774620056152,-1.0,0.980130018560228,inf,inf,-79.45923614501953,0.06878650933504105,0.01459885947406292,-0.0018719583749771118,-0.555487185716629,-0.5547270029783249,-260.7878112792969,26.666666666666668,0,nan,0
7,0,7,5.190000534057617,-1.0,0.8856763122778571,inf,inf,-79.45923614501953,0.00026282892213203013,0.007384296040982008,-5.930662155151367e-05,-0.2947898209095001,-0.4793768376111984,-222.7763671875,26.666666666666668,0,nan,0
8,0,8,5.807930946350098,-1.0,0.8688828242200628,inf,inf,-79.45923614501953,0.007222805172204971,0.010063241235911846,5.120038986206055e-05,-1.7649937719106674,-1.6026117205619812,-232.74664306640625,26.666666666666668,0,nan,0
9,0,9,4.983889102935791,-1.0,1.41190683842467,inf,inf,-79.45923614501953,0.028000663965940475,0.0044451686553657055,-0.0007079094648361206,-0.9031805396080017,-1.0183591842651367,-94.90217590332031,26.666666666666668,0,nan,0
10,0,10,4.447682857513428,-1.0,1.2733040623226548,inf,inf,-79.45923614501953,0.0004334577824920416,0.01674935221672058,-7.164478302001953e-05,-1.1296554505825043,-1.125853642821312,40.472381591796875,26.666666666666668,0,nan,0
11,0,11,3.0464999675750732,-1.0,1.157357455863807,inf,inf,-79.45923614501953,0.003614504123106599,0.031751297414302826,0.00018705427646636963,-0.5259250104427338,-0.5512462705373764,-16.542280197143555,26.666666666666668,0,nan,0
12,0,12,3.535935163497925,-1.0,1.2023368358120252,inf,inf,-79.45923614501953,0.12572555243968964,0.07822882384061813,0.003826916217803955,-0.6325626373291016,-0.720708891749382,-43.18397903442383,26.666666666666668,0,nan,0
13,0,13,3.078235626220703,-1.0,1.0853392512598359,inf,inf,-79.45923614501953,0.0023298419546335936,0.07199538499116898,0.0008960366249084473,-0.26745253801345825,-0.2733082175254822,37.09495162963867,26.666666666666668,0,nan,0
14,0,14,3.2886862754821777,-1.0,0.9770423825292994,inf,inf,-79.45923614501953,9.801821761357132e-06,0.004134805873036385,1.677870750427246e-05,-0.6009112894535065,-0.6223587095737457,-24.92271614074707,26.666666666666668,0,nan,0
15,0,15,2.8113291263580322,-1.0,0.9992986076615358,inf,inf,-79.45923614501953,0.0010586795397102833,0.0008825237164273858,3.610551357269287e-05,-0.35260939598083496,-0.38692690432071686,-23.940471649169922,26.666666666666668,0,nan,0
16,0,16,2.4741322994232178,-1.0,0.8994943630845852,inf,inf,-79.45923614501953,2.8768837978532247e-07,0.00022902173805050552,1.2665987014770508e-06,-0.11014339327812195,-0.10827790200710297,9.24230670928955,26.666666666666668,0,nan,0
17,0,17,2.447050094604492,-1.0,0.8364461332930642,inf,inf,-79.45923614501953,5.363031232263893e-05,0.00019936024909839034,-8.150935173034668e-06,-0.12966226041316986,-0.14147695899009705,-11.837343215942383,26.666666666666668,0,nan,0
18,0,18,2.4497199058532715,-1.0,0.7778542429332636,inf,inf,-79.45923614501953,0.00014805819955654442,0.0005909864557906985,-8.180737495422363e-06,-0.13951534032821655,-0.14114749431610107,22.813703536987305,26.666666666666668,0,nan,0
19,0,19,2.6869864463806152,-1.0,0.7160544062491974,inf,inf,-79.45923614501953,5.353138112695888e-05,0.0003348727768752724,-9.819865226745605e-06,-0.1258210390806198,-0.13542942702770233,-16.188249588012695,26.666666666666668,0,nan,0
20,0,20,2.3242080211639404,-1.0,0.6531604051247553,inf,inf,-79.45923614501953,1.1498609637783375e-05,0.0001319943694397807,1.3560056686401367e-06,-0.0402052104473114,-0.04726143181324005,7.564757347106934,26.666666666666668,0,nan,0
21,0,21,2.4425859451293945,-1.0,0.6067090466296063,inf,inf,-79.45923614501953,3.811184797086753e-05,0.00020202751329634339,3.203749656677246e-06,-0.06722991168498993,-0.0654418021440506,-5.20097541809082,26.666666666666668,0,nan,0
22,0,22,2.56345796585083,-1.0,0.6631172837341005,inf,inf,-79.45923614501953,0.0001716096157906577,0.00014657573774456978,-7.4356794357299805e-06,-0.030483439564704895,-0.0358508825302124,-12.986300468444824,26.666666666666668,0,nan,0
23,0,23,2.440781593322754,-1.0,0.5974603845557495,inf,inf,-79.45923614501953,1.1955769423366291e-06,0.00018257844203617424,-2.9206275939941406e-06,-0.0715322494506836,-0.09067866206169128,24.64936637878418,26.666666666666668,0,nan,0
24,0,24,2.3150887489318848,-1.0,0.5467443726418192,inf,inf,-79.45923614501953,2.8294211006141268e-05,0.0003133347490802407,-1.1622905731201172e-06,-0.07382400333881378,-0.07345375418663025,-11.330267906188965,26.666666666666668,0,nan,0
25,0,25,2.2530863285064697,-1.0,0.5236784193101915,inf,inf,-79.45923614501953,8.385528781218454e-05,0.0002652936091180891,-8.791685104370117e-07,-0.07282035052776337,-0.060527920722961426,7.336174011230469,26.666666666666668,0,nan,0
26,0,26,2.4996891021728516,-1.0,0.4955358361537305,inf,inf,-79.45923614501953,2.742869583016727e-05,0.0001132235411205329,-3.7550926208496094e-06,-0.08834055066108704,-0.09564492106437683,-9.5994234085083,26.666666666666668,0,nan,0
27,0,27,2.15236234664917,-1.0,0.44713877809026287,inf,inf,-79.45923614501953,1.3804365153191611e-06,0.00011936065857298672,-3.427267074584961e-07,0.0005619674921035767,-0.005501851439476013,19.630868911743164,26.666666666666668,0,nan,0
28,0,28,2.277311325073242,-1.0,0.77626539565461,inf,inf,-79.45923614501953,0.0003839415730908513,0.00010270197526551783,-9.670853614807129e-06,-0.03129567205905914,-0.038414061069488525,-9.192936897277832,26.666666666666668,0,nan,0
29,0,29,2.0739505290985107,-1.0,0.9198790856962492,inf,inf,-79.45923614501953,3.684467446873896e-05,1.665369563852437e-05,-1.8924474716186523e-06,-0.01363411545753479,-0.00526072084903717,12.1463623046875,26.666666666666668,0,nan,0
30,0,30,2.3586859703063965,-1.0,0.8654928108804512,inf,inf,-79.45923614501953,8.192797395167872e-06,2.1788408048450947e-05,-1.2367963790893555e-06,-0.057804226875305176,-0.06506997346878052,14.476041793823242,26.666666666666668,0,nan,0
31,0,31,2.163478136062622,-1.0,0.8161290845014225,inf,inf,-79.45923614501953,2.4212065909523517e-05,6.511148239951581e-05,-4.157423973083496e-06,-0.0200890451669693,-0.012551173567771912,9.24919605255127,26.666666666666668,0,nan,0
32,0,32,2.262324571609497,-1.0,1.184141536917403,inf,inf,-79.45923614501953,0.00018541912140790373,4.1238581616198644e-05,-3.1441450119018555e-06,0.06520684063434601,0.005118831992149353,11.125940322875977,26.666666666666668,0,nan,0
33,0,33,2.428225517272949,-1.0,1.1582136540806045,inf,inf,-79.45923614501953,0.00037095099105499685,0.00040108762914314866,-4.410743713378906e-06,-0.17202109098434448,-0.228058323264122,66.96049499511719,26.666666666666668,0,nan,0
34,0,34,2.168297290802002,-1.0,1.2643070469273523,inf,inf,-79.45923614501953,6.887964264024049e-05,3.1038784072734416e-05,-3.6954879760742188e-06,-0.018863022327423096,-0.029925785958766937,24.806699752807617,26.666666666666668,0,nan,0
35,0,35,2.1522881984710693,-1.0,1.371519006411792,inf,inf,-79.45923614501953,6.664712418569252e-05,2.852523721230682e-05,-3.5762786865234375e-07,-0.02563420683145523,-0.027839191257953644,-9.221482276916504,26.666666666666668,0,nan,0
36,0,36,2.0749759674072266,-1.0,1.5382089186553856,inf,inf,-79.45923614501953,6.81595120113343e-05,2.2432564946939237e-05,-1.5869736671447754e-06,-0.02916529029607773,-0.03127431124448776,11.036294937133789,26.666666666666668,0,nan,0
37,0,37,2.112016201019287,-1.0,1.4482803361405354,inf,inf,-79.45923614501953,1.4468838344328105e-05,2.2645665012532845e-05,-7.450580596923828e-09,-0.025808490812778473,-0.026301562786102295,13.343192100524902,26.666666666666668,0,nan,0
38,0,38,2.2748823165893555,-1.0,1.737318241806888,inf,inf,-79.45923614501953,6.524908530991524e-05,1.5038996934890747e-05,-6.303191184997559e-06,-0.0691225677728653,-0.07206925749778748,-8.483931541442871,26.666666666666668,0,nan,0
39,0,39,2.1541590690612793,-1.0,2.7312688588732295,inf,inf,-79.45923614501953,0.0002557801781222224,2.1904943423578516e-05,-6.571412086486816e-06,-0.040976740419864655,-0.03943929076194763,11.530356407165527,26.666666666666668,0,nan,0
40,0,40,2.1994729042053223,-1.0,2.7624943321729964,inf,inf,-79.45923614501953,2.9682159947697073e-05,9.752564437803812e-06,-2.682209014892578e-07,-0.012179762125015259,-0.016731560230255127,15.466470718383789,26.666666666666668,0,nan,0
41,0,41,2.0804343223571777,-1.0,2.4904197714825655,inf,inf,-79.45923614501953,6.627129778280505e-07,1.587384940648917e-05,1.4156103134155273e-07,-0.008347123861312866,-0.009685821831226349,5.7065629959106445,26.666666666666668,0,nan,0
42,0,42,2.088404655456543,-1.0,2.2510187881666988,inf,inf,-79.45923614501953,9.812507641981938e-07,1.0177900549024343e-05,7.450580596923828e-08,-0.022026345133781433,-0.017702803015708923,5.357119560241699,26.666666666666668,0,nan,0
43,0,43,2.11820912361145,-1.0,2.352469658484467,inf,inf,-79.45923614501953,4.5930184569442645e-05,1.4065165487409104e-05,-1.0207295417785645e-06,-0.03228745609521866,-0.03640571981668472,4.703713417053223,26.666666666666668,0,nan,0
44,0,44,2.222154140472412,-1.0,2.1206050235544045,inf,inf,-79.45923614501953,2.2416057277041546e-07,6.627399216085905e-06,-2.8312206268310547e-07,-0.030378468334674835,-0.03089732676744461,9.70193862915039,26.666666666666668,0,nan,0
45,0,45,2.1371583938598633,-1.0,1.909637678461492,inf,inf,-79.45923614501953,1.1623686191342131e-07,1.0633132660586853e-05,9.834766387939453e-07,-0.024247080087661743,-0.024407729506492615,18.643571853637695,26.666666666666668,0,nan,0
46,0,46,2.0560269355773926,-1.0,1.8334353074049698,inf,inf,-79.45923614501953,7.940575414977502e-06,6.919204224686837e-06,-2.0116567611694336e-07,-0.02812248468399048,-0.025499634444713593,11.978545188903809,26.666666666666668,0,nan,0
47,0,47,2.078014850616455,-1.0,2.101515643688847,inf,inf,-79.45923614501953,5.1196853746660054e-05,1.1341193385305814e-05,1.9371509552001953e-06,-0.05612434446811676,-0.05202236771583557,4.51701545715332,26.666666666666668,0,nan,0
48,0,48,2.134711980819702,-1.0,1.8914072027794853,inf,inf,-79.45923614501953,3.104917434271215e-09,7.200065738288686e-06,2.60770320892334e-07,-0.053641073405742645,-0.055810198187828064,5.900221347808838,26.666666666666668,0,nan,0
49,0,49,2.057559013366699,-1.0,1.781138954846724,inf,inf,-79.45923614501953,8.443955266557168e-06,1.0705833119573072e-05,4.917383193969727e-07,-0.03398463875055313,-0.03390314429998398,10.927343368530273,26.666666666666668,0,nan,0
