step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff
0,0,0,2.414454936981201,-1.0,0.20081980208309042,inf,inf,-88.95984649658203,0.014628026634454727,0.07284155488014221,-0.00212801992893219,0.08841119706630707,0.07701490819454193,-89.02202606201172,26.666666666666668,0,nan,0,nan
1,0,1,2.4355545043945312,-1.0,0.1843949659797781,inf,inf,-88.95984649658203,0.0015331828035414219,0.041922952979803085,0.0009241998195648193,0.007151111960411072,-0.007687866687774658,-92.6358642578125,26.666666666666668,0,nan,0,nan
2,0,2,2.6748509407043457,-1.0,0.16642354005390067,inf,inf,-88.95984649658203,0.000501737289596349,0.10719263553619385,-0.00019772350788116455,0.6706515103578568,0.8227714449167252,-200.74427795410156,26.666666666666668,0,nan,0,nan
3,0,3,3.1148910522460938,-1.0,0.15209746326066076,inf,inf,-88.95984649658203,0.0004586286668200046,0.019800249487161636,0.0014091581106185913,0.6780030876398087,0.6498536169528961,-265.5263671875,26.666666666666668,0,nan,0,nan
4,0,4,3.9066662788391113,-1.0,0.2502221852263099,inf,inf,-88.95984649658203,0.015078374184668064,0.013304314576089382,0.013988867402076721,1.8331786394119263,2.0084927827119827,-322.99920654296875,26.666666666666668,0,nan,0,nan
5,0,5,3.8227853775024414,-1.0,0.23270208226337666,inf,inf,-88.95984649658203,0.0020415144972503185,0.027212517336010933,0.0026562362909317017,2.1582110822200775,1.800644338130951,-176.1762237548828,26.666666666666668,0,nan,0,nan
6,0,6,6.944272994995117,-1.0,0.21242922153397645,inf,inf,-88.95984649658203,0.0010668138274922967,0.03559193015098572,0.005011647939682007,-2.2042383700609207,-2.0652351826429367,-306.45758056640625,26.666666666666668,0,nan,0,nan
7,0,7,5.963418960571289,-1.0,0.19182746688798633,inf,inf,-88.95984649658203,0.0006408464978449047,0.09994993358850479,0.0030241012573242188,14.868913412094116,13.604490995407104,-210.64413452148438,26.666666666666668,0,nan,0,nan
8,0,8,4.018476486206055,-1.0,0.33158726781447284,inf,inf,-88.95984649658203,0.011831113137304783,0.007443641312420368,0.005947768688201904,-1.2618726342916489,-1.4285846948623657,-198.75897216796875,26.666666666666668,0,nan,0,nan
9,0,9,3.22412109375,-1.0,0.48621228935561933,inf,inf,-88.95984649658203,0.00770159438252449,0.004101310390979052,-0.002963140606880188,2.494769498705864,2.61224764585495,-111.55517578125,26.666666666666668,0,nan,0,nan
10,0,10,3.2642767429351807,-1.0,0.46560321554078815,inf,inf,-88.95984649658203,0.0016494414303451777,0.0058883060701191425,-0.003089502453804016,-1.1953216940164566,-1.1539127081632614,-57.45423889160156,26.666666666666668,0,nan,0,nan
11,0,11,3.471322774887085,-1.0,0.4920934050588208,inf,inf,-88.95984649658203,0.007203487679362297,0.009860968217253685,0.0022132545709609985,-0.6619086712598801,-0.5806532502174377,-56.90773391723633,26.666666666666668,0,nan,0,nan
12,0,12,3.3513026237487793,-1.0,0.6068142641280287,inf,inf,-88.95984649658203,0.03206142783164978,0.019557975232601166,-0.005580350756645203,0.1585729718208313,0.09776805341243744,-42.16644287109375,26.666666666666668,0,nan,0,nan
13,0,13,2.710514545440674,-1.0,0.7456112874537925,inf,inf,-88.95984649658203,0.00765484431758523,0.0038374292198568583,0.002358555793762207,0.9000903069972992,1.0225243866443634,-3.1658759117126465,26.666666666666668,0,nan,0,nan
