step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used
0,0,0,2.4404616355895996,-1.0,5.865267255341921,inf,inf,52.230770111083984,4.779038429260254,0.8148031830787659,21.713947296142578,11.53913688659668,0.5340515524148941,0.561096116900444,0.7735002189874649,-72.85955810546875,26.666666666666668,0,nan,0,nan,0.0,nan,0
1,0,1,3.091263771057129,-1.0,6.242013639951097,inf,inf,52.230770111083984,6.6124491691589355,0.6864563226699829,65.64942169189453,12.808198928833008,-0.27050158381462097,0.7518326491117477,0.2505376636981964,-381.8802490234375,26.666666666666668,0,nan,0,nan,0.0,nan,0
2,0,2,3.0646700859069824,-1.0,5.862826416739519,inf,inf,52.230770111083984,1.251029133796692,0.5105946660041809,33.29344177246094,13.874532699584961,-0.09557309746742249,-0.16843760013580322,-0.4162593334913254,-319.726806640625,26.666666666666668,0,nan,0,nan,0.0,nan,0
3,0,3,4.053919792175293,-1.0,5.629807412496453,inf,inf,52.230770111083984,1.539787769317627,0.43587496876716614,56.393089294433594,14.58674144744873,-0.020223692059516907,-0.1529073864221573,-0.161653533577919,-398.10546875,26.666666666666668,0,nan,0,nan,0.0,nan,0
4,0,4,4.376505374908447,-1.0,15.597885564392328,inf,inf,52.230770111083984,65.55592346191406,0.6225007772445679,136.64646911621094,15.646646499633789,3.0221311151981354,1.9307299554347992,1.9412967562675476,-499.4227294921875,26.666666666666668,0,nan,0,nan,0.0,nan,0
5,0,5,5.707418441772461,-1.0,23.96853304516673,inf,inf,52.230770111083984,31.588886260986328,0.318101704120636,126.58521270751953,15.01778507232666,0.16249829530715942,5.800265848636627,5.063451200723648,-376.6038818359375,26.666666666666668,0,nan,0,nan,0.0,nan,0
6,0,6,5.901987075805664,-1.0,21.715628452154444,inf,inf,52.230770111083984,0.4738433361053467,0.32917511463165283,70.52180480957031,14.847515106201172,-0.13343557715415955,2.212280362844467,2.0832483172416687,-129.49578857421875,26.666666666666668,0,nan,0,nan,0.0,nan,0
7,0,7,8.034918785095215,-1.0,19.851631956741087,inf,inf,52.230770111083984,2.2834246158599854,0.7424169182777405,108.55037689208984,19.386449813842773,-0.15006199479103088,3.668075144290924,3.0594521164894104,-125.96453857421875,26.666666666666668,0,nan,0,nan,0.0,nan,0
8,0,8,5.093616962432861,-1.0,18.238893097621695,inf,inf,52.230770111083984,2.0145082473754883,0.5409174561500549,28.784765243530273,13.037677764892578,-0.21157899498939514,-0.7022823989391327,-0.7261975109577179,-94.68580627441406,26.666666666666668,0,nan,0,nan,0.0,nan,0
9,0,9,3.3229727745056152,-1.0,16.557374687459653,inf,inf,52.230770111083984,0.5044829249382019,0.35434412956237793,11.534290313720703,8.544224739074707,-0.04833967983722687,-0.5197094082832336,-0.2789171040058136,29.21765899658203,26.666666666666668,0,nan,0,nan,0.0,nan,0
10,0,10,5.617672443389893,-1.0,15.119027820547362,inf,inf,52.230770111083984,0.5717780590057373,0.26301875710487366,28.856788635253906,16.413501739501953,-0.03234173357486725,-1.061913549900055,-1.2153044492006302,-88.54936218261719,26.666666666666668,0,nan,0,nan,0.0,nan,0
11,0,11,3.913001537322998,-1.0,13.999793093013702,inf,inf,52.230770111083984,1.3120789527893066,0.33414456248283386,60.04263687133789,57.719886779785156,-0.10386388003826141,19.202192574739456,17.93136727809906,-75.21686553955078,26.666666666666668,0,nan,0,nan,0.0,nan,0
12,0,12,6.219744682312012,-1.0,13.362104495398984,inf,inf,52.230770111083984,1.5641772747039795,0.20519432425498962,74.82267761230469,91.48409271240234,-0.03106972575187683,121.28054419159889,116.71625819802284,-575.3153076171875,26.666666666666668,0,nan,0,nan,0.0,nan,0
13,0,13,4.116667747497559,-1.0,12.29271831938381,inf,inf,52.230770111083984,0.2754986584186554,0.10325097292661667,16.00298500061035,16.273330688476562,-0.04600527882575989,1.1138909757137299,1.3952963948249817,-50.29625701904297,26.666666666666668,0,nan,0,nan,0.0,nan,0
14,0,14,3.8691534996032715,-1.0,11.290769713575624,inf,inf,52.230770111083984,0.29944995045661926,0.13172870874404907,13.172268867492676,3.739577531814575,-0.03562295436859131,-2.2440613955259323,-1.84322689473629,9.362532615661621,26.666666666666668,0,nan,0,nan,0.0,nan,0
15,0,15,2.99782133102417,-1.0,10.330387103938753,inf,inf,52.230770111083984,0.09414540231227875,0.05580826848745346,8.332937240600586,3.932339668273926,-0.013902246952056885,-0.873362123966217,-0.7748768925666809,18.68792724609375,26.666666666666668,0,nan,0,nan,0.0,nan,0
16,0,16,3.3141160011291504,-1.0,9.351054541028573,inf,inf,52.230770111083984,0.03503710404038429,0.06523853540420532,10.897762298583984,7.333859920501709,-0.0038368254899978638,1.3040235191583633,1.0292563885450363,17.071285247802734,26.666666666666668,0,nan,0,nan,0.0,nan,0
17,0,17,3.2190659046173096,-1.0,9.2888873034833,inf,inf,52.230770111083984,0.6229034066200256,0.07135710120201111,9.396383285522461,2.392409563064575,-0.04767566919326782,-0.9646961092948914,-0.9258441478013992,15.300289154052734,26.666666666666668,0,nan,0,nan,0.0,nan,0
18,0,18,3.5547940731048584,-1.0,8.890191455514813,inf,inf,52.230770111083984,0.19649603962898254,0.037061236798763275,4.540365219116211,1.7885689735412598,-0.007093250751495361,-0.3351873308420181,-0.3222430497407913,-13.960660934448242,26.666666666666668,0,nan,0,nan,0.0,nan,0
19,0,19,2.728315830230713,-1.0,8.3679391289216,inf,inf,52.230770111083984,0.19999688863754272,0.05452971160411835,3.0338361263275146,1.6019940376281738,-0.015501081943511963,-0.3553621619939804,-0.3455127328634262,37.72355270385742,26.666666666666668,0,nan,0,nan,0.0,nan,0
20,0,20,2.9998011589050293,-1.0,7.532894323098702,inf,inf,52.230770111083984,0.0004027689865324646,0.023027120158076286,2.819678783416748,1.4736945629119873,0.0002546161413192749,-0.22034646570682526,-0.26780156791210175,-6.67301607131958,26.666666666666668,0,nan,0,nan,0.0,nan,0
21,0,21,2.71274471282959,-1.0,6.804268402311576,inf,inf,52.230770111083984,0.008172709494829178,0.033136844635009766,7.519707679748535,1.3037382364273071,0.0006959140300750732,0.11770877242088318,0.12577804923057556,16.967529296875,26.666666666666668,0,nan,0,nan,0.0,nan,0
22,0,22,2.449805736541748,-1.0,6.268215671791631,inf,inf,52.230770111083984,0.05196508765220642,0.03599335625767708,1.7912819385528564,0.9839644432067871,-0.0012942403554916382,0.011560410261154175,0.01825183629989624,29.583232879638672,26.666666666666668,0,nan,0,nan,0.0,nan,0
23,0,23,2.801321506500244,-1.0,5.716693975898853,inf,inf,52.230770111083984,0.023021716624498367,0.03057338111102581,2.568211317062378,0.8473201990127563,-0.002099663019180298,-0.1839354932308197,-0.18502867221832275,12.269977569580078,26.666666666666668,0,nan,0,nan,0.0,nan,0
24,0,24,2.6399104595184326,-1.0,5.495284880116104,inf,inf,52.230770111083984,0.10122069716453552,0.028898706659674644,1.6013044118881226,1.4643505811691284,-0.0044485777616500854,-0.07711978256702423,-0.07108713686466217,26.168973922729492,26.666666666666668,0,nan,0,nan,0.0,nan,0
25,0,25,2.4530797004699707,-1.0,5.745550724897722,inf,inf,52.230770111083984,0.221126988530159,0.02764798142015934,2.9054906368255615,1.0998663902282715,-0.012255266308784485,-0.05445289611816406,-0.06708061695098877,3.293513774871826,26.666666666666668,0,nan,0,nan,0.0,nan,0
26,0,26,2.701704502105713,-1.0,5.246261115073618,inf,inf,52.230770111083984,0.024060053750872612,0.0319669246673584,1.0799356698989868,1.4614033699035645,-0.0035745948553085327,-0.005653545260429382,-0.01310354471206665,11.854705810546875,26.666666666666668,0,nan,0,nan,0.0,nan,0
