step,epoch,batch,loss,acc,r,r_th,r_th_eff,mu,ps_grad_sq,tr_ps_sigma,grad_norm_sq,tr_sigma_full,deltaL_dom,deltaL_bulk,deltaL_full,lambda_max,two_over_lr,trigger,cstar,mask_applicable,r_th_gamma_eff,eps_current,gamma_val,gamma_iters_used,gamma_ok
0,0,0,4.75824499130249,-1.0,0.10086013678156427,inf,inf,-96.46321105957031,0.004192298278212547,0.041565462946891785,14.789203643798828,13.214208602905273,-0.00019341707229614258,-0.081398606300354,-0.08884727954864502,-96.50092315673828,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
1,0,1,4.734989643096924,-1.0,0.20008273885438932,inf,inf,-96.46321105957031,0.15578417479991913,0.14251774549484253,13.995681762695312,12.869224548339844,-0.0004926323890686035,-0.08524036407470703,-0.07939273118972778,-86.5567398071289,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
2,0,2,4.709231376647949,-1.0,0.18041345844549678,inf,inf,-96.46321105957031,8.768101542955264e-05,0.0258651040494442,13.602544784545898,12.829996109008789,-8.392333984375e-05,-0.10200721025466919,-0.10019862651824951,-45.832786560058594,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
3,0,3,4.784602165222168,-1.0,0.21683730266456316,inf,inf,-96.46321105957031,0.0100600840523839,0.01847066730260849,13.338735580444336,12.11022663116455,-0.0012642145156860352,-0.0898239016532898,-0.11662304401397705,-68.73703002929688,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
4,0,4,4.675253868103027,-1.0,0.26544378209258157,inf,inf,-96.46321105957031,0.0028331929352134466,0.004030707757920027,12.999606132507324,11.451934814453125,5.841255187988281e-05,-0.05555516481399536,-0.0861392617225647,-70.85134887695312,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
5,0,5,4.921903610229492,-1.0,0.4759441988290707,inf,inf,-96.46321105957031,0.00411780271679163,0.0017371411668136716,14.255499839782715,10.886808395385742,0.0004881620407104492,-0.36464178562164307,-0.3127470016479492,-68.77633666992188,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
6,0,6,4.848556995391846,-1.0,0.5915640074349051,inf,inf,-96.46321105957031,0.0010773210087791085,0.0006600656197406352,13.165616989135742,9.797845840454102,-0.0002251267433166504,-0.11668258905410767,-0.17238253355026245,-52.02935791015625,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
7,0,7,4.700843811035156,-1.0,0.5603457488046761,inf,inf,-96.46321105957031,0.00033883610740303993,0.0012128083035349846,12.460555076599121,9.076725959777832,2.6345252990722656e-05,-0.09281843900680542,-0.042249083518981934,47.66740036010742,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
8,0,8,4.855195999145508,-1.0,0.5505860614323101,inf,inf,-96.46321105957031,0.00013028756075073034,0.00028155132895335555,14.388078689575195,9.129858016967773,-8.058547973632812e-05,-0.17334270477294922,-0.19767212867736816,38.302425384521484,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
9,0,9,4.726749420166016,-1.0,0.5094229492407318,inf,inf,-96.46321105957031,3.4863161999965087e-05,0.00025089544942602515,11.971641540527344,8.189775466918945,-1.5914440155029297e-05,-0.09047198295593262,-0.126980721950531,55.23743438720703,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
10,0,10,4.996888160705566,-1.0,0.45848088972288087,inf,inf,-96.46321105957031,9.298354863851443e-10,0.0003949918900616467,24.04477882385254,8.069303512573242,-2.1457672119140625e-06,-0.4036779999732971,-0.49709582328796387,-26.887279510498047,26.666666666666668,0,nan,0,nan,0.0,nan,0,0
