ts,pr_auc,roc_auc,TP,FP,TN,FN,cstar,cstar_prec,cstar_rec,path
20250814-135410,0.3582986549818937,0.6314067611777534,0,0,131,49,0.05,0.18333333333333332,0.6111111111111112,results/20250814-135410
20250814-131156,0.34553772018241163,0.6587654320987655,0,0,135,45,0.05,0.3,0.72,results/20250814-131156
20250814-123600,0.04768131194116614,0.49060150375939854,0,0,152,7,0.05,0.0875,1.0,results/20250814-123600
20250814-120331,0.3511851947639064,0.5989702517162472,0,0,92,38,0.05,0.26,0.8125,results/20250814-120331
20250814-114334,0.2605114090836375,0.8315602836879433,0,0,94,6,0.05,0.06666666666666667,1.0,results/20250814-114334
20250814-112630,0.2497724265691831,0.5720382383065892,0,0,101,29,0.05,0.32,0.8888888888888888,results/20250814-112630
20250814-105329,0.18848584358223702,0.4887980085348506,3,20,128,35,0.05,0.28,0.8235294117647058,results/20250814-105329
20250814-094756,0.14914881557505832,0.4274068322981366,11,39,53,17,0.1,0.22,1.0,results/20250814-094756
20250814-092506,0.0,0.0,0,0,92,28,0.1,0.0,0.0,results/20250814-092506
20250814-092045,0.0,0.0,0,0,13,4,,,,results/20250814-092045
20250814-090954,0.0,0.0,0,0,2,0,,,,results/20250814-090954
20250814-090611,0.0,0.0,0,0,2,0,,,,results/20250814-090611
